OBJECTID,NAME,CLASS,POP,INCORPDATE,ANCSA,Labels,Locator,Community_,GlobalID,created_us,created_da,last_edite,last_edi_1,Story_Map_
"1",Diomede,Second Class City,"174","1970",Y,Diomede,G-4,"Diomede, G-4",461eaf30-c9f2-47e5-b653-11ce937e694b,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"2",Belkofski,Unincorporated,"0","0",Y,Belkofski*,J-9,"Belkofski*, J-9",c92a5bbd-cc6b-4897-8e5f-0ce991d96199,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"3",Dot Lake,Unincorporated,"80","0",Y,Dot Lake,S-5,"Dot Lake, S-5",f191bdf0-6740-4c13-93cd-0133b6bad0c7,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"4",Paxson,Unincorporated,"34","0",N,Paxson,S-5,"Paxson, S-5",db0b4523-b55f-41ad-b0a4-1118f058c54c,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"5",King Island,Unincorporated,"0","0",Y,King Island*,G-4,"King Island*, G-4",21d43967-00b1-4ab6-ae8d-eef745fcf43f,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"6",Haines,Unincorporated,"1429","1910",N,Haines,X-7,"Haines, X-7",1c5932cc-bedc-46a3-b7c8-1c6a8b5f02f4,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"7",Metlakatla,Organized Under Federal Law,"1528","1944",N,Metlakatla,Z-9,"Metlakatla, Z-9",950e09b1-4b2b-41d3-bdc8-5ba4f0222911,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"8",Central,Unincorporated,"57","0",N,Central,S-4,"Central, S-4",9abe38fe-eb0b-4403-8109-7461d076d310,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"9",Venetie,Unincorporated,"241","0",Y,Venetie,R-3,"Venetie, R-3",b0a8c1e3-bf91-41fc-b835-d413f7f4ddd9,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"10",Kivalina,Second Class City,"357","1969",Y,Kivalina,I-3,"Kivalina, I-3",8c763553-4f54-4484-9a01-05919a071a32,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"11",Deering,Second Class City,"158","1970",Y,Deering,J-3,"Deering, J-3",bb2e795b-2c02-496d-86a3-1a18dfa62085,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"12",Unalaska,First Class City,"4251","1942",Y,Unalaska,H-10,"Unalaska, H-10",ec223bea-47e0-4b28-a4f2-ed7b44def259,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"13",Russian Mission,Second Class City,"295","1970",Y,Russian Mission,K-6,"Russian Mission, K-6",02fbed46-3288-46bc-89a8-f77921b73970,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"14",Ouzinkie,Second Class City,"246","1967",Y,Ouzinkie,O-8,"Ouzinkie, O-8",7ffa84e4-0851-4b39-ab56-ed2add361a7b,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"15",Chefornak,Second Class City,"405","1974",Y,Chefornak,I-6,"Chefornak, I-6",24bef3cb-8899-4f1d-9350-09045b445473,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"16",Grayling,Second Class City,"186","1969",Y,Grayling,K-5,"Grayling, K-5",77e2f4e2-ff86-4afd-b320-199594a0327f,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"17",Mountain Village,Second Class City,"738","1967",Y,Mountain Village,J-5,"Mountain Village, J-5",aab80e9b-f426-4b2d-8494-be2cf768f2c8,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"18",Manokotak,Second Class City,"387","1970",Y,Manokotak,L-7,"Manokotak, L-7",7bb3afad-8b91-4efe-8226-d47e6c6c053a,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"19",Port Heiden,Second Class City,"116","1972",Y,Port Heiden,L-8,"Port Heiden, L-8",d3297936-2a35-414b-826e-f92af75f5a22,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"20",Savoonga,Second Class City,"622","1969",Y,Savoonga,F-5,"Savoonga, F-5",5eec5679-d3fd-4a5a-b113-e24b3c311c63,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"21",Shaktoolik,Second Class City,"226","1969",Y,Shaktoolik,K-4,"Shaktoolik, K-4",7ee9dc8c-31f5-40d1-a05b-1f4a6381cce4,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"22",False Pass,Second Class City,"64","1990",Y,False Pass,J-9,"False Pass, J-9",620f7656-190c-493b-ac3b-3b24aa8c190d,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"23",King Cove,First Class City,"691","1947",Y,King Cove,J-9,"King Cove, J-9",9c50675b-201b-4c54-a5f4-0ad86678eee1,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"24",Akutan,Second Class City,"420","1979",Y,Akutan,I-9,"Akutan, I-9",b3798e5f-5697-4966-a1ba-282caaac8e46,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"25",Saint George,Second Class City,"153","1983",Y,Saint George,G-8,"Saint George, G-8",d202a446-47cd-4da4-8e83-ab2999cb6882,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"26",Saint Paul,Second Class City,"764","1971",Y,Saint Paul,F-8,"Saint Paul, F-8",2c312769-3326-4d64-a98f-caa8e73eca32,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"27",Atka,Second Class City,"111","1988",Y,Atka,D-10,"Atka, D-10",928e179d-94a3-4983-badb-ba80eadec12d,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"28",Chuathbaluk,Second Class City,"115","1975",Y,Chuathbaluk,L-6,"Chuathbaluk, L-6",4b1064e9-e06e-4f13-a075-452e1c902bfd,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"29",Coffman Cove,Second Class City,"246","1989",N,Coffman Cove,Y-9,"Coffman Cove, Y-9",dd11f235-dd43-45a7-97b9-e2d0b3d16431,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"30",Thorne Bay,Second Class City,"625","1982",N,Thorne Bay,Y-9,"Thorne Bay, Y-9",aa74ccb3-425e-4106-bf7a-1095f503d5ba,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"31",Anchorage,Unincorporated,"254849","1975",N,Anchorage,Q-6,"Anchorage, Q-6",de405c4d-15d2-4431-98c2-6d24a66bfca4,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"32",Kachemak,Second Class City,"398","1961",N,Kachemak,P-7,"Kachemak, P-7",d44a70d5-1259-4cda-ad7b-5cf61d0669f0,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"33",Ivanof Bay,Unincorporated,"27","0",Y,Ivanof Bay,L-9,"Ivanof Bay, L-9",cfc642a4-9558-4b01-94b4-05fe2d75fccf,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"34",Perryville,Unincorporated,"107","0",Y,Perryville,L-9,"Perryville, L-9",f29d68e0-a216-45de-a758-a3eb924540a5,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"35",Northway Junction,Unincorporated,"114","0",N,Northway Junction,U-5,"Northway Junction, U-5",b2d4dae2-6830-4669-9ca9-d515d080d9a9,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"36",Tetlin,Unincorporated,"68","0",Y,Tetlin,T-5,"Tetlin, T-5",bef00380-eb9f-40e9-9560-d3b0099a0844,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"37",Georgetown,Unincorporated,"0","0",Y,Georgetown,M-6,"Georgetown, M-6",6d665778-7e09-4db2-b5e6-b133400f7359,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"38",Attu,Unincorporated,"26","0",N,Attu,AA-10,"Attu, AA-10",07d42b0d-29a1-4705-9b8d-894dbe669fcb,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"39",Tuntutuliak,Unincorporated,"351","0",Y,Tuntutuliak,J-6,"Tuntutuliak, J-6",7646964e-a42d-4a61-899f-2788758176d6,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"40",Chignik Lagoon,Unincorporated,"74","0",Y,Chignik Lagoon,L-8,"Chignik Lagoon, L-8",533c65ea-a82d-4dbf-81e4-10a53f59e2c2,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"41",Chignik Lake,Unincorporated,"127","0",Y,Chignik Lake,L-8,"Chignik Lake, L-8",20d6b220-5763-4509-9c8a-a7b0af381474,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"42",Hollis,Unincorporated,"175","0",N,Hollis,Y-9,"Hollis, Y-9",1b1be5db-562a-435e-be04-570c64df1fd5,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"43",Boundary,Unincorporated,"0","0",N,Boundary,U-4,"Boundary, U-4",8ac6f8a3-5a52-452d-b84b-ab5762a811e3,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"44",Pauloff Harbor,Unincorporated,"0","0",Y,Pauloff Harbor*,J-9,"Pauloff Harbor*, J-9",e62c9edc-1efc-4638-8c37-2a3783461694,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"45",Birch Creek,Unincorporated,"37","0",Y,Birch Creek,S-3,"Birch Creek, S-3",6b89e995-39ad-41c0-a3b8-ce48a171ce4d,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"46",McKinley Park,Unincorporated,"196","0",N,McKinley Park,Q-5,"McKinley Park, Q-5",0821bfcf-64ae-49bc-9797-b011b06c2b8c,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"47",Paimiut,Unincorporated,"0","0",Y,Paimiut*,I-6,"Paimiut*, I-6",47d0b551-b322-4af1-9144-713ca9a51230,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"48",Kokhanok,Unincorporated,"168","0",Y,Kokhanok,N-7,"Kokhanok, N-7",6e0f01f2-d9fa-4b09-823d-4738ecc31615,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"49",Pedro Bay,Unincorporated,"37","0",Y,Pedro Bay,N-7,"Pedro Bay, N-7",594400dc-feff-48fe-a6b8-aff9aa42503a,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"50",Kaguyak,Unincorporated,"0","0",Y,Kaguyak*,O-8,"Kaguyak*, O-8",5cfe61c1-4e35-4efa-8cc8-5734784044bc,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"51",Ayakulik,Unincorporated,"0","0",Y,Ayakulik*,N-8,"Ayakulik*, N-8",55d3fca6-e688-4131-8567-39aa5a43d030,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"52",Uganik,Unincorporated,"0","0",Y,Uganik*,O-8,"Uganik*, O-8",78a45b47-c7c9-4567-9bc1-52079e5b57cb,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"53",Kongiganak,Unincorporated,"349","0",Y,Kongiganak,J-7,"Kongiganak, J-7",975dffa9-f320-4f87-b409-1cd5bbe31930,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"54",Minto,Unincorporated,"244","0",Y,Minto,Q-4,"Minto, Q-4",37115831-a1ff-46f5-b517-88625374f6e0,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"55",Healy Lake,Unincorporated,"60","0",Y,Healy Lake,S-5,"Healy Lake, S-5",faeb8e0f-2a1d-4382-8033-e25fae90df9d,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"56",Slana,Unincorporated,"58","0",N,Slana,T-5,"Slana, T-5",5c439082-2651-42b5-bae0-e9328a0e4bf8,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"57",Mentasta Lake,Unincorporated,"122","0",Y,Mentasta Lake,T-5,"Mentasta Lake, T-5",4f17dda6-d3d8-4a4b-a8a1-1425f69276e0,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"58",Portage Creek,Unincorporated,"14","0",Y,Portage Creek,M-7,"Portage Creek, M-7",188773ea-4813-4288-a9b7-3f64c4fcc0ca,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"59",Ekuk,Unincorporated,"2","0",Y,Ekuk,L-7,"Ekuk, L-7",88eb7493-2d64-408b-a8b7-2b10d3aec17c,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"60",Port Protection,Unincorporated,"58","0",N,Port Protection,Y-8,"Port Protection, Y-8",7bb3b60b-3a66-4766-8d0d-eb9c995198cd,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"61",Nanwalek,Unincorporated,"177","0",Y,Nanwalek,P-7,"Nanwalek, P-7",d4ad3868-a857-4467-b106-90e67acb5178,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"62",Petersville,Unincorporated,"0","0",N,Petersville,P-5,"Petersville, P-5",98844d13-a567-49b4-aa58-ab069bfca142,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"63",Skwentna,Unincorporated,"77","0",N,Skwentna,P-6,"Skwentna, P-6",53b23296-9fd0-4b52-93c5-a8980ef4fd4f,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"64",Kenny Lake,Unincorporated,"500","0",N,Kenny Lake,S-6,"Kenny Lake, S-6",5274d984-f95c-4f03-a4b7-13fd53737366,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"66",Deadhorse,Unincorporated,"24","0",N,Deadhorse,Q-1,"Deadhorse, Q-1",a17d4f08-7972-4b54-af3e-499ee3f4b957,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"67",Chiniak,Unincorporated,"74","0",N,Chiniak,O-8,"Chiniak, O-8",5739e9f7-1b85-4f20-87d9-a8072006b055,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"68",Salamatof,Unincorporated,"1134","0",Y,Salamatof,P-6,"Salamatof, P-6",2c2d1f19-3c9a-4a77-9cdb-b71d61f3f15a,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"69",Nikiski,Unincorporated,"3023","0",N,Nikiski,P-6,"Nikiski, P-6",8284903c-a62e-4405-bd55-50d70e48beaf,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"70",Uyak,Unincorporated,"0","0",Y,Uyak*,O-8,"Uyak*, O-8",e4d28ce3-1592-4d69-a8e1-6d104f5c7fa8,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"71",Big Lake,Unincorporated,"2243","0",N,Big Lake,Q-6,"Big Lake, Q-6",dd326a62-f219-48e7-af91-3caabdd2075c,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"72",Oscarville,Unincorporated,"59","0",Y,Oscarville,K-6,"Oscarville, K-6",e40f89bb-41cc-4b4a-9ac6-3b2165c166a8,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"73",Atmautluak,Unincorporated,"247","0",Y,Atmautluak,J-6,"Atmautluak, J-6",9c317f74-c0ef-46d2-ae8e-d6313e17ff01,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"74",Tazlina,Unincorporated,"297","0",Y,Tazlina,S-5,"Tazlina, S-5",f4b39e24-f04d-4cfb-b448-949b3fcdd5c3,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"75",Chenega,Unincorporated,"91","0",Y,Chenega,Q-6,"Chenega, Q-6",892b00ff-e709-4648-b171-e8496f976a93,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"76",Nelson Lagoon,Unincorporated,"90","0",Y,Nelson Lagoon,K-8,"Nelson Lagoon, K-8",5263633a-5a11-449b-9f12-0889f7ac35fc,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"77",Port Moller,Unincorporated,"0","0",N,Port Moller,K-9,"Port Moller, K-9",ff558140-0b74-4b3c-aaef-806827dc709e,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"78",Eyak,Unincorporated,"166","0",Y,Eyak,S-6,"Eyak, S-6",59e6165a-9bc0-48d1-94d0-dce7b4a8acc3,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"79",Alatna,Unincorporated,"31","0",Y,Alatna,O-3,"Alatna, O-3",20be945d-f8a4-47ac-8c7e-d53c3ac21a37,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"80",Iditarod,Unincorporated,"0","0",N,Iditarod,L-5,"Iditarod, L-5",51fc7fec-a760-459c-81d5-8421777de834,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"81",Karluk,Unincorporated,"48","0",Y,Karluk,N-8,"Karluk, N-8",c1aea7a3-8786-4986-bb46-1a097987ed4a,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"82",Lower Kalskag,Second Class City,"278","1969",Y,Lower Kalskag,K-6,"Lower Kalskag, K-6",8f9a9ff9-7f4c-45b1-be41-a3417d3f8828,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"83",Upper Kalskag,Second Class City,"198","1975",Y,Upper Kalskag,K-6,"Upper Kalskag, K-6",d82d757e-1e88-4d11-8d1c-48ae5df39ff2,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"84",Chalkyitsik,Unincorporated,"87","0",Y,Chalkyitsik,T-3,"Chalkyitsik, T-3",380feea8-13f1-4171-ad84-283e677e1194,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"85",Cantwell,Unincorporated,"144","0",Y,Cantwell,Q-5,"Cantwell, Q-5",c79a6573-98a8-423f-bbb5-974ea08b976b,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"86",Seward,Home Rule City,"2999","1912",N,Seward,Q-6,"Seward, Q-6",dd8964c4-7541-4196-8735-d5ac95178a5c,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"87",Cooper Landing,Unincorporated,"271","0",N,Cooper Landing,Q-6,"Cooper Landing, Q-6",d5564057-ae7e-4eaa-934a-68567b264c83,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"88",Palmer,Home Rule City,"3946","1951",N,Palmer,Q-6,"Palmer, Q-6",5e093555-8fd9-4ee5-a54c-3b5fa85f35dc,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"89",Wasilla,First Class City,"4917","1974",N,Wasilla,Q-6,"Wasilla, Q-6",0594bbd8-5685-4272-b57f-7caddcb48890,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"90",Houston,Second Class City,"994","1966",N,Houston,Q-6,"Houston, Q-6",2f9761c3-1de5-4077-9712-81e2db6a2715,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"91",Knik,Unincorporated,"443","0",Y,Knik,Q-6,"Knik, Q-6",4a018f98-60fb-43c3-8054-6800ffd07e2b,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"92",Sutton,Unincorporated,"431","0",N,Sutton,Q-6,"Sutton, Q-6",3da028c5-8d4b-4252-ad6d-ddcf16fa4f53,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"93",Chickaloon,Unincorporated,"205","0",Y,Chickaloon,Q-6,"Chickaloon, Q-6",598180d3-4de7-44d5-870c-dd249672ddad,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"94",Willow,Unincorporated,"408","0",N,Willow,P-6,"Willow, P-6",1ed1272e-5d2d-4198-bf90-a4a19801b1cf,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"95",Eklutna,Unincorporated,"425","0",Y,Eklutna,Q-6,"Eklutna, Q-6",93b01360-1f4e-499e-9316-9257a033bf64,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"96",Glennallen,Unincorporated,"513","0",N,Glennallen,S-5,"Glennallen, S-5",65318f37-ac34-4bae-ab67-85cbb4d64a0a,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"97",Copper Center,Unincorporated,"536","0",Y,Copper Center,S-6,"Copper Center, S-6",15eb8ff4-1bb1-4176-9596-b7a526b1764f,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"98",Chitina,Unincorporated,"84","0",Y,Chitina,S-6,"Chitina, S-6",816d68c6-4afa-4b77-a424-f2ec20cead06,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"99",Gulkana,Unincorporated,"95","0",Y,Gulkana,S-5,"Gulkana, S-5",2d2ffaf2-8f2c-44f2-a305-341d578f1e49,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"100",Gakona,Unincorporated,"23","0",Y,Gakona,S-5,"Gakona, S-5",f40ed89e-cfcf-4671-8267-2f6fc9331985,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"101",Chistochina,Unincorporated,"55","0",Y,Chistochina,S-5,"Chistochina, S-5",21694d71-fcdf-4bea-9b1d-379424332342,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"102",Nabesna,Unincorporated,"0","0",N,Nabesna,T-5,"Nabesna, T-5",8b620c4d-dbec-4618-9f91-9e8597dce350,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
