COMMUNITY,POLICE
ADAK,Y
AKHIOK,Y
AKIACHAK,Y
AKUTAN,Y
ALEKNAGIK,N
ALLAKAKET,N
AMBLER,Y
ANAKTUVUK PASS,Y
ANCHORAGE,Y
ANCHOR POINT,Y
ANDERSON,N
ANGOON,Y
ANIAK,Y
ANVIK,N
ARCTIC VILLAGE,N
ATKA,Y
ATMAUTLUAK,Y
ATQASUK,Y
BEAVER,N
BETHEL,Y
BETTLES,N
BIRCH CREEK,N
BREVIG MISSION,Y
BUCKLAND,Y
CANTWELL,Y
CHALKYITSIK,N
CHEFORNAK,Y
CHENEGA,Y
CHIGNIK / CHIGNIK BAY,N
CHIGNIK LAGOON,N
CHIGNIK LAKE,N
CHITINA,N
CHISTOCHINA,N
CHUATHBALUK,N
CIRCLE,N
CLARKS POINT,N
COFFMAN COVE,N
COLD BAY,N
COPPER CENTER,N
CORDOVA,Y
CRAIG,Y
CROOKED CREEK,N
DEERING,N
DELTA JUNCTION,Y
DILLINGHAM,Y
DIOMEDE,N
DOT LAKE VILLAGE,N
EAGLE,Y
EAGLE VILLAGE,N
EDNA BAY,N
EEK,Y
EGEGIK,N
EKWOK,N
ELIM,N
EMMONAK,Y
FAIRBANKS,Y
FALSE PASS,Y
FORT YUKON,Y
GALENA,Y
GAMBELL,Y
GLENNALLEN,Y
GOLOVIN,Y
GOODNEWS BAY,Y
GRAYLING,N
GULKANA,N
GUSTAVUS,N
HAINES,Y
HEALY,Y
HEALY LAKE,N
HOLY CROSS,N
HOMER,Y
HOONAH,Y
HOOPER BAY,Y
HOUSTON,N
HUGHES,N
HUSLIA,N
HYDABURG,N
IGIUGIG,N
ILIAMNA,Y
IVANOF BAY,N
JUNEAU,Y
KACHEMAK,N
KAKE,Y
KAKTOVIK,Y
KALTAG,N
KASAAN,Y
KASIGLUK,Y
KENAI,Y
KETCHIKAN,Y
KIANA,Y
KING COVE,Y
KING SALMON,Y
KIPNUK,Y
KIVALINA,N
KLAWOCK,Y
KOBUK,Y
KODIAK,Y
KOKHANOK,N
KOLIGANEK,Y
KONGIGANAK,Y
KOTZEBUE,Y
KOYUK,Y
KOYUKUK,N
KUPREANOF,N
KWETHLUK,Y
KWIGILLINGOK,Y
LARSEN BAY,N
LEVELOCK,N
LOWER KALSKAG,Y
MANLEY HOT SPRINGS,N
MANOKOTAK,Y
MARSHALL,Y
MCGRATH,N
MEKORYUK,Y
MENTASTA,N
METLAKATLA,Y
MINTO,N
MOUNTAIN VILLAGE,Y
NAKNEK,Y
NANWALEK,N
Called tribe on 4/8 and spoke to Tribal Administrator David Andrew. “Yes we do employ a couple of TPOs. Part-time TPOs.” They do some patrols. Are on call sometimes for public safety calls when people have been drinking. Would not tell me the names of the two TPOs. said he didn't nkow if he should and wanted to talk to them first. I left him my name and number.,Y
NAPASKIAK,Y
NELSON LAGOON,Y
NENANA,Y
NEW STUYAHOK,Y
NEWHALEN,N
NIKOLAI,N
NIKOLSKI,N
NINILCHIK,N
NOME,Y
NONDALTON,N
NOORVIK,Y
NORTH POLE,Y
NORTHWAY,N
NUIQSUT,Y
NUNAM IQUA,N
NUNAPITCHUK,Y
OLD HARBOR,N
OSCARVILLE,N
OUZINKIE,N
PALMER,Y
PEDRO BAY,N
PELICAN,N
PERRYVILLE,N
PETERSBURG,Y
PILOT POINT,Y
PILOT STATION,Y
PITKAS POINT,N
PLATINUM,N
POINT HOPE,Y
POINT LAY,Y
PORT ALEXANDER,N
PORT ALSWORTH,N
PORT GRAHAM,N
PORT HEIDEN,N
PORT LIONS,Y
QUINHAGAK,Y
RAMPART,N
RED DEVIL,N
RUBY,N
RUSSIAN MISSION,N
SAND POINT,Y
SAVOONGA,Y
SAXMAN,Y
SCAMMON BAY,Y
SELAWIK,Y
SELDOVIA,Y
SEWARD,Y
SHAGELUK,Y
SHAKTOOLIK,Y
SHISHMAREF,Y
SHUNGNAK,Y
SITKA,Y
SKAGWAY,Y
SLEETMUTE,N
SOLDOTNA,Y
ST. GEORGE,Y
ST. MARY'S,Y
ST. MICHAEL,Y
ST. PAUL,Y
STEBBINS,Y
STEVENS VILLAGE,N
STONY RIVER,N
TAKOTNA,N
TANACROSS,Y
TANANA,N
TATITLEK,N
TAZLINA,Y
TELLER,N
TENAKEE SPRINGS,N
THORNE BAY,N
TOGIAK,Y
TOK,Y
TOKSOOK BAY,Y
TULUKSAK,Y
TUNTUTULIAK,Y
TUNUNAK,Y
TWIN HILLS,N
TYONEK,N
UGASHIK,N
UNALAKLEET,Y
UNALASKA,Y
UPPER KALSKAG,N
UTQIAGVIK,Y
VALDEZ,Y
VENETIE,N
WAINWRIGHT,Y
WALES,N
WASILLA,Y
WHALE PASS,N
WHITE MOUNTAIN,Y
WHITTIER,Y
WRANGELL,Y
YAKUTAT,Y